ct,name,class,z,N_HI,flag,Q,L_UV,SI_UV,n_rad,fit,L_21,TO,SI,L_21ssd,TOssd,thick,thin
557,WISEJ223036.17+694628.1,Q,1.413,18.49,non,,,,9,2,,9.27,,,10.722,-1.448,0.062
558,[HB89]2230+114,Q,1.037,17.04,non,56.875,23.645,-0.8895561730018916,55,2,,8.41,,,8.688,0.62,-0.326
559,MRC2232-232,G,0.87,18.11,non,,,,8,1,,6.886,-0.77,,,,
560,[HB89]2234+282,Q,0.795,18.32,non,56.059,22.829,-0.8871752165757277,26,2,,10.13,,,9.866,0.61,-0.289
561,MRC2236-264,G,0.43,18.56,non,,,,7,1,,0.7,-0.693,,,,
562,MRC2240-260,Q,0.774,18.11,non,56.366,23.16,-0.9380190142883393,20,1,,15.981,-0.29,,,,
563,NVSSJ224500-343030,R,0.3562,18.08,det,,,,3,1,,7.695,-0.476,,,,
564,3C454,Q,1.757,17.38,non,56.054,22.921,-1.1121165535866486,21,1,,2.278,-0.771,,,,
565,[HB89]2247+140,Q,0.23463,18.09,non,54.965,21.996,-1.6190195973922,23,1,,6.406,-0.532,,,,
566,PKS2252-089,Q,0.6064,19.3,det,54.295,21.042,-0.8415606485670376,10,2,,8.57,,,9.398,0.094,-0.642
567,[HB89]2253+417,Q,1.476,18.11,non,,,,12,2,,9.8,,,9.212,1.264,-0.321
568,MRC2254-248,G,0.54,17.86,non,,,,9,1,,6.84,-0.667,,,,
569,PKS2251+006,Q,0.938829,17.49,non,55.559,22.158,-0.6002302556094985,12,1,,12.575,-0.321,,,,
570,3C455,Q,0.543,17.62,det,54.825,21.717,-1.1759338746711099,22,1,,2.323,-0.873,,,,
571,PKS2300-18,G,0.128929,17.85,non,54.683,21.426,-0.834541308097017,16,1,,10.247,-0.503,,,,
572,MRC2311-222,G,0.434,18.11,non,,,,6,1,,5.303,-0.674,,,,
573,WISEJ231147.40+454356.1,Q,1.447,18.59,non,,,,9,2,,10.31,,,10.684,0.329,-1.05
574,MRC2313-277,G,0.614,18.3,non,,,,6,1,,3.089,-0.881,,,,
575,3C459,G,0.22012,17.2,non,54.198,21.168,-1.4084864190842188,28,1,,3.891,-0.985,,,,
576,3C459,G,0.2199,17.85,det,54.197,21.167,-1.4084864190842186,28,1,,3.891,-0.985,,,,
577,PKS2318-087,V,3.1639,19.3,non,56.639,23.293,-0.6803998359824455,9,1,,12.651,-0.292,,,,
578,B32319+444,Q,1.31,18.28,non,,,,14,1,,9.714,-0.015,,,,
579,3C460,G,0.268,18.28,non,,15.831,0.8567538188047467,16,1,,5.77,-0.923,,,,
580,B32323+435A,G,0.145,17.92,non,,,,11,1,,6.389,-0.433,,,,
581,B22327+39,Q,3.094,17.51,non,,19.344,0.2564783643398819,5,1,,19.085,-0.952,,,,
582,PKS2331-41,G,0.907,17.65,non,,,,20,1,,6.521,-0.963,,,,
583,CGRaBSJ2236+7322,Q,1.345,18.26,non,,,,6,2,,9.47,,,10.421,0.115,-0.938
584,MRC2338-290,Q,0.449,19.29,non,55.493,22.243,-0.8488814289463507,6,1,,43.385,-0.661,,,,
585,MRC2338-233,Q,0.715,18.64,non,56.177,23.144,-1.3990836229077752,6,1,,4.523,-0.714,,,,
586,PKS2338+000,G,0.309264,19.23,det,54.891,21.581,-0.7387241956759746,9,1,,1.166,-0.453,,,,
587,WISEAJ233913.22-552350.8,Q,1.3531,18.83,det,57.69,24.574,-1.1572629044203429,6,1,,-4.499,-0.446,,,,
588,MRC2340-219,G,0.776,18.83,non,,,,8,1,,4.897,-0.951,,,,
589,MRC2343-243,G,0.6,18.6,non,,,,9,1,,12.988,-0.811,,,,
590,[HB89]2342+821,Q,0.735,17.85,non,,,,18,2,,8.78,,,8.896,0.646,-0.696
591,[HB89]2344+092,Q,0.677,17.6,non,55.775,22.444,-0.7039840171321754,36,2,,7.85,,,8.502,0.361,-0.322
592,MRC2348-235,G,0.952,18.6,non,,,,7,1,,-12.409,-0.894,,,,
593,[HB89]2351-154,Q,2.668,0.0,non,57.079,23.872,-0.9376020416219699,14,1,,484.479,-0.087,,,,
594,COINSJ2355+4950,G,0.2379,18.45,det,,15.633,0.6987564196809581,30,2,,9.03,,,9.287,0.419,-0.792
595,BZUJ2356+8152,Q,1.34,18.2,non,,,,11,1,,9.665,-0.021,,,,
596,B22356+39,Q,1.198,17.88,non,,,,11,1,,10.12,-0.276,,,,
